mep_name,assistant_type,total_assistant_changes
Lina GÁLVEZ,accredited_grouping,57
Alicia HOMS GINEL,accredited_grouping,57
Nicolás GONZÁLEZ CASARES,accredited_grouping,54
Nacho SÁNCHEZ AMOR,accredited_grouping,52
Iratxe GARCÍA PÉREZ,accredited_grouping,51
Cristina MAESTRE,accredited_grouping,50
Juan Fernando LÓPEZ AGUILAR,accredited_grouping,43
Javier MORENO SÁNCHEZ,accredited_grouping,43
César LUENA,accredited_grouping,29
Rosa SERRANO SIERRA,accredited_grouping,29
Jonás FERNÁNDEZ,accredited_grouping,29
Marcos ROS SEMPERE,accredited_grouping,29
Leire PAJÍN,accredited_grouping,29
José CEPEDA,accredited_grouping,29
Idoia MENDIA,accredited_grouping,29
Elena SANCHO MURILLO,accredited_grouping,29
Sandra GÓMEZ LÓPEZ,accredited_grouping,29
Hana JALLOUL MURO,accredited_grouping,29
Kim VAN SPARRENTAK,accredited_grouping,21
Margarita DE LA PISA CARRIÓN,accredited_grouping,21
Jorge BUXADÉ VILLALBA,accredited_grouping,19
Catarina VIEIRA,accredited_grouping,11
Bas EICKHOUT,accredited_grouping,11
Tineke STRIK,accredited_grouping,11
Mireia BORRÁS PABÓN,accredited_grouping,10
Hermann TERTSCH,accredited_grouping,10
Juan Carlos GIRAUTA VIDAL,accredited_grouping,10
Jorge MARTÍN FRÍAS,accredited_grouping,10
Johan DANIELSSON,accredited_grouping,9
Rosa ESTARÀS FERRAGUT,accredited_grouping,8
Antonio LÓPEZ-ISTÚRIZ WHITE,accredited_grouping,8
Susana SOLÍS PÉREZ,accredited_grouping,8
Adrián VÁZQUEZ LÁZARA,accredited_grouping,8
Isabel BENJUMEA BENJUMEA,accredited_grouping,8
Francisco José MILLÁN MON,accredited_grouping,8
Isabella LÖVIN,accredited_grouping,7
Juan Ignacio ZOIDO ÁLVAREZ,accredited_grouping,7
Alice KUHNKE,accredited_grouping,7
Pär HOLMGREN,accredited_grouping,7
Gerolf ANNEMANS,accredited_grouping,7
Thijs REUTEN,accredited_grouping,6
Pablo ARIAS ECHEVERRÍA,accredited_grouping,6
Esteban GONZÁLEZ PONS,accredited_grouping,6
Evin INCIR,accredited_grouping,6
Laura BALLARÍN CEREZA,accredited_grouping,6
Javi LÓPEZ,accredited_grouping,6
Gabriel MATO,accredited_grouping,5
Dolors MONTSERRAT,accredited_grouping,5
Matthias ECKE,accredited_grouping,5
Adnan DIBRANI,accredited_grouping,5
Sofie ERIKSSON,accredited_grouping,5
Heléne FRITZON,accredited_grouping,5
Marit MAIJ,accredited_grouping,4
Mohammed CHAHIM,accredited_grouping,4
Carmen CRESPO DÍAZ,accredited_grouping,4
Elena NEVADO DEL CAMPO,accredited_grouping,4
Esther HERRANZ GARCÍA,accredited_grouping,4
Alma EZCURRA ALMANSA,accredited_grouping,4
Lara WOLTERS,accredited_grouping,4
Maravillas ABADÍA JOVER,accredited_grouping,4
Fernando NAVARRETE ROJAS,accredited_grouping,4
Nicolás PASCUAL DE LA PARTE,accredited_grouping,4
Borja GIMÉNEZ LARRAZ,accredited_grouping,4
Raúl DE LA HOZ QUINTANO,accredited_grouping,4
Pilar DEL CASTILLO VERA,accredited_grouping,4
Barbara BONTE,accredited_grouping,4
Tom VANDENDRIESSCHE,accredited_grouping,4
Javier ZARZALEJOS,accredited_grouping,4
Bernd LANGE,accredited_grouping,3
Birgit SIPPEL,accredited_grouping,3
Beatrice TIMGREN,accredited_grouping,3
Sabrina REPP,accredited_grouping,3
Tobias CREMER,accredited_grouping,3
Tiemo WÖLKEN,accredited_grouping,3
René REPASI,accredited_grouping,3
Krzysztof BREJZA,accredited_grouping,3
Jens GEIER,accredited_grouping,3
Klára DOBREV,accredited_grouping,3
Katarina BARLEY,accredited_grouping,3
Csaba MOLNÁR,accredited_grouping,3
Charlie WEIMERS,accredited_grouping,3
Maria NOICHL,accredited_grouping,3
Georg MAYER,accredited_grouping,3
Delara BURKHARDT,accredited_grouping,3
Dick ERIXON,accredited_grouping,3
Gabriele BISCHOFF,accredited_grouping,3
Udo BULLMANN,accredited_grouping,3
Vivien COSTANZO,accredited_grouping,3
Łukasz KOHUT,accredited_grouping,2
Adam JARUBAS,accredited_grouping,2
Andrzej BUŁA,accredited_grouping,2
Andrzej HALICKI,accredited_grouping,2
Sérgio GONÇALVES,accredited_grouping,2
Ewa KOPACZ,accredited_grouping,2
Elżbieta Katarzyna ŁUKACIJEWSKA,accredited_grouping,2
Sander SMIT,accredited_grouping,2
Francisco ASSIS,accredited_grouping,2
Reinier VAN LANSCHOT,accredited_grouping,2
Raffaele STANCANELLI,accredited_grouping,2
Bartłomiej SIENKIEWICZ,accredited_grouping,2
Pilar del CASTILLO VERA,accredited_grouping,2
Bartosz ARŁUKOWICZ,accredited_grouping,2
Auke ZIJLSTRA,accredited_grouping,2
Pernando BARRENA ARZA,accredited_grouping,2
Ondřej KRUTÍLEK,accredited_grouping,2
Nela RIEHL,accredited_grouping,2
Dariusz JOŃSKI,accredited_grouping,2
Hanna GRONKIEWICZ-WALTZ,accredited_grouping,2
Bruno GONÇALVES,accredited_grouping,2
Carla TAVARES,accredited_grouping,2
Bogdan Andrzej ZDROJEWSKI,accredited_grouping,2
Borys BUDKA,accredited_grouping,2
Mirosława NYKIEL,accredited_grouping,2
Michał SZCZERBA,accredited_grouping,2
Michał WAWRYKIEWICZ,accredited_grouping,2
Markus BUCHHEIT,accredited_grouping,2
Marta TEMIDO,accredited_grouping,2
Marta WCISŁO,accredited_grouping,2
Marie DAUCHY,accredited_grouping,2
Marieke EHLERS,accredited_grouping,2
Christophe CLERGEAU,accredited_grouping,2
Catherine GRISET,accredited_grouping,2
Janusz LEWANDOWSKI,accredited_grouping,2
Jacek PROTAS,accredited_grouping,2
Jagna MARCZUŁAJTIS-WALCZAK,accredited_grouping,2
Isilda GOMES,accredited_grouping,2
Magdalena ADAMOWICZ,accredited_grouping,2
Krzysztof HETMAN,accredited_grouping,2
Kai TEGETHOFF,accredited_grouping,2
Kamila GASIUK-PIHOWICZ,accredited_grouping,2
Katarína ROTH NEVEĎALOVÁ,accredited_grouping,2
Damian BOESELAGER,accredited_grouping,2
Jessika VAN LEEUWEN,accredited_grouping,2
Anna STROLENBERG,accredited_grouping,2
Anna STÜRGKH,accredited_grouping,2
André RODRIGUES,accredited_grouping,2
Veronika VRECIONOVÁ,accredited_grouping,2
Alexandre VARAUT,accredited_grouping,2
Ana Catarina MENDES,accredited_grouping,2
Alexandr VONDRA,accredited_grouping,2
Eric SARGIACOMO,accredited_grouping,1
Erik KALIŇÁK,accredited_grouping,1
Erik MARQUARDT,accredited_grouping,1
Elisabeth DIERINGER,accredited_grouping,1
Emma RAFOWICZ,accredited_grouping,1
Sibylle BERG,accredited_grouping,1
Stefan BERGER,accredited_grouping,1
Sebastiaan STÖTELER,accredited_grouping,1
Sebastian KRUIS,accredited_grouping,1
Sebastião BUGALHO,accredited_grouping,1
Sergey LAGODINSKY,accredited_grouping,1
Daniel CASPARY,accredited_grouping,1
Daniel FREUND,accredited_grouping,1
Judita LAŠŠÁKOVÁ,accredited_grouping,1
Julie RECHAGNEUX,accredited_grouping,1
Céline IMART,accredited_grouping,1
Joanna SCHEURING-WIELGUS,accredited_grouping,1
Jonas SJÖSTEDT,accredited_grouping,1
Jordan BARDELLA,accredited_grouping,1
Claire FITA,accredited_grouping,1
Thomas WAITZ,accredited_grouping,1
Ton DIEPEVEEN,accredited_grouping,1
Lena DÜPONT,accredited_grouping,1
Lena SCHILLING,accredited_grouping,1
Lídia PEREIRA,accredited_grouping,1
Krzysztof ŚMISZEK,accredited_grouping,1
Laurent CASTILLO,accredited_grouping,1
Katrin LANGENSIEPEN,accredited_grouping,1
Julien LEONARDELLI,accredited_grouping,1
Julien SANCHEZ,accredited_grouping,1
Jutta PAULUS,accredited_grouping,1
Marco SQUARTA,accredited_grouping,1
Jean-Marc GERMAIN,accredited_grouping,1
Jean-Paul GARRAUD,accredited_grouping,1
Jens GIESEKE,accredited_grouping,1
Malika SOREL,accredited_grouping,1
Manfred WEBER,accredited_grouping,1
Marc ANGEL,accredited_grouping,1
Jacek OZDOBA,accredited_grouping,1
Marie-Luce BRASIER-CLAIN,accredited_grouping,1
Marina KALJURAND,accredited_grouping,1
Marion WALSMANN,accredited_grouping,1
Christophe BAY,accredited_grouping,1
Christophe GOMART,accredited_grouping,1
Chloé RIDEL,accredited_grouping,1
Christian DOLESCHAL,accredited_grouping,1
Christian EHLER,accredited_grouping,1
Christine SCHNEIDER,accredited_grouping,1
Carola RACKETE,accredited_grouping,1
Caterina CHINNICI,accredited_grouping,1
Isabelle LE CALLENNEC,accredited_grouping,1
Martin HÄUSLING,accredited_grouping,1
Martin SCHIRDEWAN,accredited_grouping,1
Martin SONNEBORN,accredited_grouping,1
Hildegard BENTELE,accredited_grouping,1
Hélder SOUSA SILVA,accredited_grouping,1
Harald VILIMSKY,accredited_grouping,1
Helmut BRANDSTÄTTER,accredited_grouping,1
Hilde VAUTMANS,accredited_grouping,1
Markus FERBER,accredited_grouping,1
Brando BENIFEI,accredited_grouping,1
Milan UHRÍK,accredited_grouping,1
Monika BEŇOVÁ,accredited_grouping,1
Monika HOHLMEIER,accredited_grouping,1
Murielle LAURENT,accredited_grouping,1
Mélanie DISDIER,accredited_grouping,1
Milan MAZUREK,accredited_grouping,1
Mathilde ANDROUËT,accredited_grouping,1
Matthieu VALET,accredited_grouping,1
Merja KYLLÖNEN,accredited_grouping,1
Michael BLOSS,accredited_grouping,1
Michael GAHLER,accredited_grouping,1
Niclas HERBST,accredited_grouping,1
Nicola PROCACCINI,accredited_grouping,1
Nora MEBAREK,accredited_grouping,1
Dennis RADTKE,accredited_grouping,1
Diana RIBA I GINER,accredited_grouping,1
Hanna GEDIN,accredited_grouping,1
Hannah NEUMANN,accredited_grouping,1
David MCALLISTER,accredited_grouping,1
Carlo FIDANZA,accredited_grouping,1
Pierre JOUVET,accredited_grouping,1
Pierre PIMPIE,accredited_grouping,1
Pierre-Romain THIONNET,accredited_grouping,1
Peter LIESE,accredited_grouping,1
Philippe OLIVIER,accredited_grouping,1
Patryk JAKI,accredited_grouping,1
Paulo CUNHA,accredited_grouping,1
Paulo DO NASCIMENTO CABRAL,accredited_grouping,1
Norbert LINS,accredited_grouping,1
Oliver SCHENK,accredited_grouping,1
Pascale PIERA,accredited_grouping,1
René AUST,accredited_grouping,1
Robert BIEDROŃ,accredited_grouping,1
Fabrice LEGGERI,accredited_grouping,1
Rachel BLOM,accredited_grouping,1
Ralf SEEKATZ,accredited_grouping,1
Raphaël GLUCKSMANN,accredited_grouping,1
Rasmus ANDRESEN,accredited_grouping,1
Aurore LALUCQ,accredited_grouping,1
Axel VOSS,accredited_grouping,1
Anne-Sophie FRIGOUT,accredited_grouping,1
Sabine VERHEYEN,accredited_grouping,1
Gilles PENNELLE,accredited_grouping,1
Rody TOLASSY,accredited_grouping,1
France JAMET,accredited_grouping,1
Francesco VENTOLA,accredited_grouping,1
François KALFON,accredited_grouping,1
François-Xavier BELLAMY,accredited_grouping,1
Aleksandar NIKOLIC,accredited_grouping,1
Özlem DEMIREL,accredited_grouping,1
Ľuboš BLAHA,accredited_grouping,1
Andreas SCHWAB,accredited_grouping,1
Sven MIKSER,accredited_grouping,1
Sven SIMON,accredited_grouping,1
Andrea WECHSLER,accredited_grouping,1
Stefan KÖHLER,accredited_grouping,1
Anna CAVAZZINI,accredited_grouping,1
Sérgio HUMBERTO,accredited_grouping,1
Terry REINTKE,accredited_grouping,1
Thierry MARIANI,accredited_grouping,1
Thomas PELLERIN-CARLIN,accredited_grouping,1
Veronika CIFROVÁ OSTRIHOŇOVÁ,accredited_grouping,1
Virginie JORON,accredited_grouping,1
André ROUGÉ,accredited_grouping,1
Angelika NIEBLER,accredited_grouping,1
Angéline FURET,accredited_grouping,1
Valérie DELOGE,accredited_grouping,1
Verena MERTENS,accredited_grouping,1
Alessandro ZAN,accredited_grouping,1
Alexandra GEESE,accredited_grouping,1
Alexandra MEHNERT,accredited_grouping,1
